,Centrality
1,0.10714285714285714
13,0.6785714285714285
14,0.14285714285714285
15,0.10714285714285714
4,0.03571428571428571
24,0.3214285714285714
5,0.03571428571428571
16,0.17857142857142855
6,0.21428571428571427
18,0.6428571428571428
19,0.5
25,0.39285714285714285
26,0.3571428571428571
27,0.3571428571428571
28,0.42857142857142855
8,0.25
20,0.6428571428571428
22,0.2857142857142857
23,0.42857142857142855
32,0.2857142857142857
9,0.8214285714285714
10,0.03571428571428571
11,0.10714285714285714
12,0.42857142857142855
17,0.5357142857142857
21,0.3214285714285714
29,0.3571428571428571
30,0.3571428571428571
31,0.3571428571428571
